user	text	date
"Jurisprudencia Colombiana
@JurisprudenCol
·
3h"	"CENTRO DE ENTRENAMIENTO JURÍDICO le está invitando a una reunión de Zoom programada.

Tema: Reunión Zoom de EL ABC DE UN ACCIDENTE DE TRANSITO
Hora: 29 ago 2025 07:30 p. m. Bogotá
Únase a la reunión de Zoom
https://us02web.zoom.us/j/88970615531?pwd=Y9iXNQSIQpsvQubID4lzWD7XQnms1I.1…

ID de reunión: 889 7061 5531
Código de acceso:"	2025-08-30T00:19:53.000Z
"Periódico LA PATRIA
@lapatriacom
·
3h"	GER atendió en la tarde de este viernes un grave accidente de tránsito en la vía Manizales-Bogotá.	2025-08-30T00:16:38.000Z
"Opina Agudo
@AgudoOpina
·
7h"	" Nos bajaron en plena Suba con Calle 100 

Un accidente nos dejó varados en plena vía  ¿Y ahora qué? Bogotá cada día más caótica…  #Bogotá #Accidente #Suba #Calle100 #Transmilenio"	2025-08-29T20:52:59.000Z
"Guillermo Romero
@Guilloromeros
·
16h"	Los #titulares de las #Noticias de #ULTIMAHORA en #Colombia #Venezuela #MaduroEsUnFugitivo #DonaldTrump #aranceles #Petro #Francia #DanielNoboa #SantaFe #Millonarios #Bogota #Colombianos #Ucrania #Rusia #Secuestro #Policia #Medellin #Lina #Cali	2025-08-29T11:03:57.000Z
"RKantautor
@rickykantautor
·
Aug 28"	He llegado a la conclusión de que los trancones en Bogotá se forman no porque haya algún accidente, cierre o condición climática, sino por la misma predisposición con la que salen de casa los conductores. Imprudentes, apáticos y sin empatía, desde ahí ya en la ciudad hay tráfico.	2025-08-28T20:15:27.000Z
"Comisión Nacional de Disciplina Judicial
@CNDJ_Col
·
Aug 28"	#SentenciasParaLaGente | Con la historia del abogado que heredó un proceso de reclamación por accidente de tránsito en Bogotá y no cumplió con el mandato encomendado. A pesar de ello, parte de los honorarios quedaron en su poder y en manos de quienes le cedieron el expediente.	2025-08-28T13:46:43.000Z
"Pasa en Bogotá | Sr Bacca
@PasaenBogota
·
Aug 28"	"#BOGOTÁ. Se presenta accidente de tránsito en la loc/Engativá, calle 80 con carrera 76. Según información, involucra vehiculo particular y motociclista dejando dos personas lesionadas.

ÚNETE  http://t.me/PasaenBogotaSrBacca…"	2025-08-28T06:03:39.000Z
"H. Vargas
@CarlosH80434493
·
Aug 27"	"Este fue el recorrido de la camioneta que mató a Sergio Blanco, hincha de Santa Fe, frente al Movistar Arena en Bogotá:-  https://share.google/tA6v6mOipdopb11wL…
desperdicio de recursos investigativos, fue un ACCIDENTE CAUSADO MIENTRAS EL VANDALO PARTICIPABA EN LOS ACTOS DEL 
@MovistarArenaCo
 "	2025-08-27T17:39:18.000Z
"Pasa en Bogotá | Sr Bacca
@PasaenBogota
·
Aug 27"	"#BOGOTÁ. Se presenta accidente de tránsito en la loc/Bosa. Autopista Sur pasando el puente de la Av. Villavicencio, sentido Oriente-Occidente. Involucra vehiculo particular y ciclista. No se tiene información de lesionados.

ÚNETE  http://t.me/PasaenBogotaSrBacca…"	2025-08-27T16:43:44.000Z
"juan jose bruzon val
@bruzon_juan
·
Aug 27"	Buenos días, se presento algún accidente o novedad vial en la vía que comunica Cajamarca con BOGOTA en la madrugada o noche ?	2025-08-27T12:05:34.000Z
