user	text	date
".ۗۗۗۗ𝕏hichi☭
@RaulReyko
·
30m"	En todo caso no deja de estar mal, por eso esos buses están llenos de cucarachas y otros bichos q en última instancia pueden generar daños en partes importantes del transporte y ocasionar un accidente fatal, hay gente q sufre de bichofobia extrema y no aguantaría un viaje así 	2025-09-25T04:27:58.000Z
"Pasa en Bogotá | Sr Bacca
@PasaenBogota
·
2h"	"#BOGOTÁ. Hace pocos minutos, se presentó accidente de tránsito en la loc/Suba, Av. Calle 127 con carrera 55, sentido Sur-Norte. Según informan; involucra dos motociclistas dejando dos personas lesionadas.

ÚNETE  
t.me/PasaenBogotaSr
…"	2025-09-25T02:43:44.000Z
"Pulzo
@pulzo
·
6h"	"Hombre quedó en coma al ser atropellado por moto en Galerías (Bogotá) cuando paseaba a mascota.
pulzo.com/nacion/bogota/
…"	2025-09-24T22:07:58.000Z
"Ivancho
@Merlinovo
·
8h"	Debieron hacer que pareciera un accidente y se hubiera caído desde esa altura.  Queda libre en unas horas	2025-09-24T20:54:31.000Z
"¡PUM! Pereira Último Minuto
@MINUTOPEREIRA
·
12h"	"#Virales | ¿Usted qué opina?
Las autoridades en Bogotá buscan intensamente al conductor de un Kia Picanto rojo que arrolló a un repartidor de domicilios y huyó del lugar sin prestarle ayuda,

#Bogotá #Accidente #Motociclista #Conductor #Viral"	2025-09-24T16:15:00.000Z
"Revista Semana
@RevistaSemana
·
Sep 22"	#Nación | Laura Villamil contó si es verdad que Andrés Carne de Res le dio 3.000 millones de pesos tras el accidente: “Me asusté”.	2025-09-22T15:06:40.000Z
"Sayrus
@SayrusA
·
Sep 22"	"Cómo este señor puede tener una licencia de tránsito se paso dos semáforos en rojo, fue posible causante de un accidente por la imprudencia y la arrogancia 
@MinTransporteCo
 @SecretariadeTr4
 @Bogota"	2025-09-22T13:49:41.000Z
"EL TIEMPO
@ELTIEMPO
·
Sep 22"	Laura Villamil desmintió haber recibido indemnización de 3000 millones de pesos tras accidente en Andrés Carne de Res ►	2025-09-22T13:30:00.000Z
"Ciclaramanga
@Ciclaramanga
·
Sep 22"	#NoMásMuertesDeCiclistas | Jhan Carlos Roa, un joven de 27 años, perdió la vida en la madrugada del jueves en un accidente vial en la vía que comunica a Funza con Siberia, en la sabana de Bogotá:	2025-09-22T13:00:03.000Z
"PaisaEstereo.com
@PaisaEstereoCom
·
Sep 22"	Fatal accidente en Guarne: mujer murió al intentar cruzar la autopista Medellín – Bogotá. INFO	2025-09-22T12:50:26.000Z
"Alda Marina Escolar Viloria
@aldamarina58
·
Sep 22"	Laura Villamil desmintió haber recibido indemnización de 3000 millones de pesos tras accidente en Andrés Carne de Res	2025-09-22T12:08:03.000Z
"Revista Semana
@RevistaSemana
·
Sep 22"	"Entérese: 
semana.com/nacion/articul
…"	2025-09-22T05:35:49.000Z
"Fundación Liga Contra la Violencia Vial
@PorLaViaXLaVida
·
Sep 21"	" Que dolor 

Solidaridad con la familia

Grave siniestro de tránsito deja una persona muerta en Bogotá; esto se sabe 
msn.com/es-co/noticias
…"	2025-09-22T00:50:39.000Z
"visajini
@lenero_hugo
·
Sep 20"	me robé unas halls en Bogotá por accidente	2025-09-20T18:56:10.000Z
"Q'hubo Bogotá
@qhubobogota
·
Sep 20"	Judiciales Jhan Carlos Roa, un joven de 27 años, perdió la vida en un accidente en la vía que comunica a Funza con Siberia, en la sabana de Bogotá (Cundinamarca).	2025-09-20T18:47:15.000Z
"Las Noticias De MAI
@MaiShiranui54
·
Sep 20"	"La vía Bogotá-Villavicencio está experimentando cierres en diferentes puntos debido a manifestaciones y un accidente. Los cierres se registran en:
- *Kilómetro 0+000 El Uval*: Cierre debido a manifestaciones del gremio transportador.
- *Kilómetro 35+000 El Tablón*: Cierre en este"	2025-09-20T17:17:55.000Z
"Michel Jimenez
@MichelJ03396418
·
Sep 20"	El accidente fue en Alto del Trigo, que ya queda llegando a Villeta y Bogotá. Pero a estos les da por poner a Medellín que literalmente hay que atravesar 3 departamentos para llegar. Muy descontextualizada la noticia.	2025-09-20T17:14:43.000Z
"Valora Analitik
@ValoraAnalitik
·
Sep 20"	#Infraestructura | Nuevos cierres en la vía Bogotá – Villavicencio: Hay accidente y bloqueo de transportadores	2025-09-20T17:12:37.000Z
"Pulzo
@pulzo
·
Sep 20"	Ella era Leidy, la motociclista que murió en accidente de la NQS: su madre dio duro relato	2025-09-20T16:52:27.000Z
"Angello Arias
@AngelloArias2
·
Sep 20"	Acaba de ocurrir un accidente un poco después de la nariz de diablo en dirección Bogotá -Melgar entre un motociclista y un carro particular. Por favor vayan	2025-09-20T13:11:15.000Z
